Date,Description,Category,Amount,Payment_Method
2024-04-30,Financial back training.,Dining,210.4,Cash
2025-04-17,Term data.,Transport,467.45,Mobile Payment
2025-03-06,Social leave trial.,Dining,256.33,Bank Transfer
2024-05-13,Mouth catch size.,Dining,411.17,Mobile Payment
2024-12-01,Learn within.,Education,145.01,Cash
2025-03-29,That case account.,Entertainment,152.79,Cash
2024-06-02,Enter middle yard.,Groceries,295.53,Bank Transfer
2024-09-08,Strategy call.,Transport,499.46,Mobile Payment
2024-11-18,Fear upon evidence.,Entertainment,247.37,Credit Card
2024-10-27,Store change ask.,Healthcare,78.55,Cash
2024-08-27,Player people name.,Transport,271.6,Credit Card
2024-06-27,Kid under best.,Entertainment,175.84,Bank Transfer
2024-04-23,Stay eat society.,Dining,278.2,Cash
2024-11-25,Citizen college environment.,Utilities,274.0,Credit Card
2025-01-28,Partner participant.,Education,230.4,Cash
2024-06-29,Fish instead.,Groceries,164.28,Credit Card
2025-04-16,Only exactly financial.,Entertainment,98.38,Mobile Payment
2025-03-05,Tv friend.,Utilities,350.26,Mobile Payment
2024-08-13,Against through.,Transport,288.04,Bank Transfer
2024-11-15,Number various.,Entertainment,120.61,Cash
2024-08-06,Behind choice also.,Rent,388.89,Credit Card
2024-05-20,Value.,Utilities,26.61,Bank Transfer
2024-12-19,None herself every.,Healthcare,373.63,Mobile Payment
2024-10-27,Respond main indeed.,Utilities,354.09,Mobile Payment
2024-12-07,Sound second remain.,Groceries,406.65,Bank Transfer
2024-05-30,Close guy billion.,Healthcare,196.11,Cash
2025-03-30,Skill similar report.,Education,333.53,Credit Card
2024-12-26,Hand financial they.,Groceries,411.27,Mobile Payment
2024-05-31,Pick people.,Transport,490.5,Bank Transfer
2024-10-08,Mention production with.,Healthcare,250.19,Mobile Payment
2025-01-22,Both teacher chance.,Entertainment,23.32,Mobile Payment
2025-01-17,Herself that.,Rent,253.63,Credit Card
2024-12-06,Yes international begin.,Groceries,297.14,Cash
2024-08-23,Give indicate.,Rent,435.5,Cash
2024-05-01,Like wrong.,Transport,437.72,Credit Card
2024-08-17,Fall free attack.,Transport,222.95,Bank Transfer
2024-06-10,Recognize itself consider.,Education,265.35,Bank Transfer
2025-04-08,End without.,Transport,231.18,Cash
2025-03-17,Mind exist.,Utilities,362.61,Mobile Payment
2024-08-07,Remember plan fear.,Utilities,207.94,Mobile Payment
2024-07-29,Stand one.,,329.12,Bank Transfer
2025-04-18,For.,Utilities,81.41,Credit Card
2024-04-24,Follow pressure would.,Entertainment,237.4,Mobile Payment
2024-04-21,Itself food produce.,Dining,484.76,Bank Transfer
2024-11-28,Piece.,Rent,172.59,Credit Card
2024-07-29,News short.,Rent,347.89,Cash
2025-02-07,Factor or change.,Entertainment,326.67,Credit Card
2024-05-24,Nothing tonight.,Dining,426.62,Cash
2024-11-19,Person trade.,Healthcare,426.91,Bank Transfer
2024-07-29,Foot.,Education,430.37,Credit Card
2024-10-30,Safe discussion.,Education,193.1,Bank Transfer
2024-08-31,The many.,Transport,161.75,Cash
2024-12-24,North music.,Rent,360.77,Mobile Payment
2024-08-23,Pick network western.,Rent,380.9,Mobile Payment
2024-07-05,Indeed all interest.,Transport,436.83,Cash
2024-12-29,Recently born provide.,Healthcare,22.77,Mobile Payment
2025-02-03,Language.,Groceries,38.87,Mobile Payment
2025-04-12,Power trip.,Rent,317.42,Credit Card
,Two less.,Rent,460.86,Credit Card
2024-08-27,Art officer hair.,Groceries,498.73,Mobile Payment
2024-04-24,Hit.,Transport,374.65,Credit Card
,Resource employee produce not.,Groceries,219.82,Cash
2024-10-09,Appear its.,Rent,53.73,Credit Card
2024-11-19,Mention discuss.,Transport,318.71,Credit Card
2024-08-04,Nation middle week.,Groceries,436.93,Credit Card
2025-01-09,Hear officer.,Healthcare,224.62,Bank Transfer
2024-08-21,,Transport,348.53,Cash
2025-01-19,Sure animal.,Rent,,Mobile Payment
2024-04-29,Success range.,Entertainment,27.77,Mobile Payment
2025-01-11,Democratic stay green.,Education,399.09,Bank Transfer
2024-09-01,Hard magazine.,Rent,150.22,Credit Card
2025-01-08,Respond east.,Utilities,190.55,Cash
2024-06-18,Man eight.,Education,,Cash
2025-03-03,Deep receive.,Rent,267.93,Mobile Payment
2024-06-26,Morning discuss work.,Education,285.13,Bank Transfer
2025-03-06,Change age.,Dining,397.3,Bank Transfer
2024-04-22,,Rent,89.14,Bank Transfer
2024-08-04,Would page.,Transport,44.09,Bank Transfer
2025-02-19,Up tell.,Transport,436.07,Cash
2024-06-21,Standard course build.,Dining,311.76,Credit Card
2024-05-18,Again.,Healthcare,124.21,Mobile Payment
2025-03-21,They property doctor.,Dining,456.85,Cash
2025-04-14,Reach particularly minute.,Dining,75.84,Bank Transfer
2024-10-27,Address onto financial peace.,Education,233.27,Bank Transfer
2024-11-05,Blood deep should.,Groceries,130.72,Mobile Payment
2024-10-05,Break word moment.,Transport,131.39,Credit Card
2025-03-19,Trial soldier unit.,Groceries,9.65,Credit Card
2024-06-12,Must.,Dining,403.29,Credit Card
2024-10-30,Hard.,Healthcare,451.1,Bank Transfer
2024-09-10,Camera break.,Transport,340.42,Cash
2024-12-18,Spend fact rock nothing.,Rent,83.2,Cash
2024-07-15,Bed push live.,Rent,223.66,Credit Card
2024-07-13,Whose music.,Rent,176.05,Mobile Payment
2024-10-30,Interest war.,Education,295.85,Credit Card
2024-08-26,Simple figure night.,Utilities,321.27,Credit Card
2025-01-03,Second himself.,Dining,215.03,Mobile Payment
2024-11-23,Tough study.,Utilities,128.8,Credit Card
2025-01-18,Current cup.,Entertainment,423.43,Mobile Payment
2024-11-04,Place finish nation woman.,Education,103.61,Mobile Payment
2024-07-06,System president situation.,Rent,195.42,Cash
2024-10-19,Drug throughout military.,Transport,,Mobile Payment
2024-06-07,Situation voice design.,Education,122.42,Credit Card
,Establish at this.,Transport,288.1,
2024-06-03,Do many.,Groceries,289.53,Credit Card
2025-03-29,Accept race pattern.,Groceries,496.38,Mobile Payment
2024-12-28,Best.,,151.14,Cash
2024-11-27,Certainly own board open.,Rent,489.08,Credit Card
2025-01-17,Key section.,Utilities,330.82,Credit Card
2025-01-21,Factor rate official.,Dining,140.87,Credit Card
2025-01-14,Chance country only.,Education,285.13,Mobile Payment
2024-08-07,Wall important election.,Education,344.47,Cash
2024-09-11,For offer wear.,Rent,373.61,Cash
2024-05-26,Group within movie somebody.,Dining,29.28,Cash
2024-05-22,Cold stand.,Groceries,305.17,Cash
2024-06-09,Eight action.,Utilities,250.88,Mobile Payment
,Student anything close.,Dining,452.56,Credit Card
2024-11-29,Themselves full continue.,Groceries,146.67,Bank Transfer
2025-03-31,Line begin south.,Dining,400.44,Cash
2024-05-18,Meeting check exist.,Entertainment,305.5,Bank Transfer
2025-03-03,Discuss trouble energy.,Education,179.4,Mobile Payment
2024-07-11,Debate.,Entertainment,320.13,Mobile Payment
2024-06-25,Exist former.,Dining,312.34,Bank Transfer
2024-10-20,Produce course.,Education,340.49,Credit Card
2025-01-26,Teacher recent.,Utilities,361.86,Bank Transfer
2025-03-28,Simply capital.,Rent,331.29,Mobile Payment
2024-12-17,Describe might.,Entertainment,419.98,Bank Transfer
2025-02-22,Hospital knowledge project.,Rent,315.98,Cash
2024-05-30,Tell forward character.,Groceries,452.18,Cash
2024-05-23,Cover.,Groceries,324.94,Credit Card
2025-01-26,Food sort billion.,Healthcare,157.92,Bank Transfer
2024-11-05,Agent against political maintain.,Groceries,223.21,Bank Transfer
2024-07-21,Husband according.,Groceries,291.89,Bank Transfer
2025-04-12,Finally start.,Education,367.52,Bank Transfer
2024-09-26,Themselves game least letter.,Utilities,49.62,Credit Card
2024-10-04,Worker rich similar.,Groceries,151.08,Mobile Payment
2024-05-19,Recently why hair guess.,Transport,375.0,Credit Card
2024-12-22,Let remain machine.,Utilities,91.94,Mobile Payment
,Old important concern.,Transport,70.42,Mobile Payment
2024-05-09,Boy enter sister.,Transport,272.01,Mobile Payment
2024-09-27,Condition while next.,Rent,485.89,Bank Transfer
2025-03-01,,Dining,267.77,Credit Card
2024-06-15,Senior.,Transport,457.18,Mobile Payment
2024-10-06,Pattern know.,Rent,416.08,Cash
2024-07-13,Itself future.,Groceries,132.2,Mobile Payment
2024-07-09,With.,Transport,413.22,Credit Card
2024-05-18,Industry direction myself.,Dining,243.51,Bank Transfer
2024-12-03,Detail.,Healthcare,404.21,Cash
2024-09-20,Newspaper center.,Entertainment,374.55,Mobile Payment
2024-05-20,Beyond.,Rent,172.66,Bank Transfer
2025-04-05,Around professor standard.,Healthcare,62.01,Credit Card
2024-05-01,Matter face.,Rent,481.63,Credit Card
2024-10-05,Hair fine author.,Entertainment,74.67,Cash
2024-07-05,Rate.,Dining,483.42,Cash
2025-04-13,Attention rate single.,Utilities,430.77,Mobile Payment
2024-07-10,Line sign.,Entertainment,363.49,Bank Transfer
2025-02-12,Money until.,Education,490.07,Bank Transfer
2024-12-20,Yes morning.,Healthcare,483.8,Credit Card
2025-03-31,School.,Transport,403.27,Credit Card
2024-12-29,Feeling financial.,Groceries,186.06,Mobile Payment
2024-04-24,Science fish.,Education,396.39,Mobile Payment
2025-02-12,Brother laugh would box.,Transport,11.89,Credit Card
2024-10-09,North later there.,Transport,270.6,Credit Card
2025-03-09,East scene change.,Rent,230.12,Bank Transfer
2024-05-14,Painting he thank.,Entertainment,338.05,Bank Transfer
2024-12-25,Prepare child anyone.,Utilities,337.81,Bank Transfer
2025-01-02,Require herself.,Healthcare,294.36,Mobile Payment
2024-05-29,Put shoulder.,Transport,412.1,Bank Transfer
2024-05-24,Pretty information.,Rent,470.44,Cash
2025-01-12,Speech of practice.,Healthcare,58.63,Cash
2025-03-25,Program travel.,Entertainment,120.74,Bank Transfer
2024-08-04,Program clearly.,Utilities,17.39,Bank Transfer
2024-05-28,Mrs.,Education,442.7,Credit Card
2024-05-08,Although then.,Entertainment,282.9,Credit Card
2024-06-15,Others major.,Groceries,458.05,Mobile Payment
2024-09-28,Experience quality.,Entertainment,114.58,Cash
2024-08-17,Pressure field plan.,Transport,36.29,Cash
2024-07-27,Story poor.,Utilities,412.81,Mobile Payment
2024-09-12,Realize relate if.,Entertainment,455.15,Bank Transfer
2024-09-26,Able hear most.,Transport,,Bank Transfer
2024-07-04,Reality thing.,Transport,207.11,Mobile Payment
2024-10-03,Hair.,Utilities,74.19,Cash
2024-10-01,Ask receive window.,Entertainment,473.4,Cash
2024-11-03,Raise anyone.,Entertainment,155.66,Bank Transfer
2024-11-05,Six what.,Rent,248.85,Credit Card
2024-11-15,Skin nearly idea.,Healthcare,53.11,Mobile Payment
2025-02-27,Eat indicate.,Rent,444.19,Mobile Payment
2025-04-06,For policy sit.,Entertainment,72.15,Bank Transfer
2025-04-15,Collection difficult buy.,Education,229.55,Mobile Payment
2025-01-17,Social they.,,336.89,Cash
2024-09-07,Somebody remain conference.,Groceries,372.85,
2024-11-13,Itself wife scientist.,Transport,473.26,Cash
2024-05-07,Keep security area.,Dining,212.47,Credit Card
,How level.,Entertainment,372.42,Mobile Payment
2024-06-17,Policy hospital authority.,Groceries,81.49,Mobile Payment
2024-07-30,Arrive raise night cup.,Groceries,210.37,Cash
2024-12-10,Top fall.,Healthcare,54.02,Bank Transfer
2025-04-13,Democrat per.,Utilities,247.23,Bank Transfer
2024-09-13,For.,Entertainment,207.02,Mobile Payment
2024-12-31,Be coach.,Utilities,476.0,Cash
2025-02-25,Act only.,Education,21.19,Credit Card
2024-08-23,Hold.,Dining,,Cash
2025-01-28,Kind.,Groceries,224.47,Bank Transfer
2024-08-01,Board blue wind center.,Transport,475.52,Mobile Payment
,,Transport,428.45,Mobile Payment
2025-01-20,Whether energy ok your.,Utilities,54.18,Mobile Payment
2024-11-18,Term toward tough.,Groceries,344.41,Credit Card
2024-05-04,Risk win.,Healthcare,274.51,Credit Card
2024-04-22,Return partner local.,Utilities,489.03,Bank Transfer
2025-01-03,Every them.,Dining,182.54,Cash
2025-02-03,Scene bed modern.,Utilities,202.08,Cash
2024-07-03,Whole eye western.,Groceries,98.96,Cash
2024-06-10,Modern finish option.,Entertainment,65.47,Credit Card
2025-03-17,Court like.,Healthcare,424.78,Mobile Payment
2025-01-23,Chair picture.,Groceries,230.09,Bank Transfer
2024-09-12,Ability above.,Healthcare,333.07,Bank Transfer
2024-09-04,Establish property.,Rent,322.64,Credit Card
2025-02-15,Claim people.,Rent,300.59,Credit Card
2024-10-19,Suggest scientist hair.,Transport,,Mobile Payment
2024-09-23,Help during street.,Healthcare,394.46,Mobile Payment
2025-01-02,Top indeed point member.,Dining,125.57,Credit Card
2024-09-15,Network example can.,Utilities,67.33,Bank Transfer
2024-06-25,Military bed anyone.,Rent,284.47,Mobile Payment
2025-02-04,Technology finally.,Utilities,38.96,Mobile Payment
2025-01-20,Necessary year.,Utilities,383.75,Bank Transfer
,Something image.,Dining,107.54,Mobile Payment
2024-12-15,Reduce along dark.,Groceries,111.9,Bank Transfer
2024-08-31,Partner.,Utilities,435.5,Cash
2025-02-27,Traditional crime resource.,Healthcare,167.64,Mobile Payment
2024-10-29,However film air.,Dining,78.04,Mobile Payment
2024-10-04,Near field development.,Rent,450.76,Cash
2024-06-26,Feeling happen.,Entertainment,6.4,Bank Transfer
,You.,Utilities,429.91,Mobile Payment
2024-06-03,Him side.,Transport,76.62,Cash
2024-10-16,Police base.,Dining,69.35,Bank Transfer
2024-12-25,Trade pick.,Groceries,129.07,Mobile Payment
2024-09-24,Whatever full challenge.,Education,91.38,Credit Card
2024-05-11,Civil start whom.,Rent,332.22,Cash
2024-12-01,Industry month whatever.,Rent,,Bank Transfer
2025-01-16,First spring.,Education,12.36,Credit Card
2024-11-16,Understand between within.,Healthcare,396.04,Bank Transfer
2025-04-06,Student father kitchen.,Entertainment,122.78,Credit Card
2024-05-24,Theory better baby.,Rent,165.27,Credit Card
2024-08-16,More opportunity.,Rent,91.25,Cash
2025-03-18,Want record.,Groceries,30.94,Cash
2024-09-10,North none collection why.,Rent,372.15,Credit Card
2024-12-30,Agent play.,Dining,265.41,Cash
2025-03-27,Free threat would main.,Healthcare,374.1,Bank Transfer
2025-03-18,You head any cold.,Entertainment,240.74,Mobile Payment
2024-06-01,There article.,Transport,390.12,Bank Transfer
2025-03-31,Network strong.,Entertainment,259.05,Credit Card
2024-08-20,Moment church.,Healthcare,58.98,Bank Transfer
2024-11-05,Federal general red.,Dining,254.4,Credit Card
2024-12-31,Without.,,472.98,Bank Transfer
2024-05-17,Career land.,Groceries,,
2024-09-15,Kitchen institution mention.,Transport,392.7,Cash
2024-09-12,Above story.,Entertainment,434.16,Credit Card
2024-10-13,Eight land physical.,Utilities,263.12,Credit Card
2024-08-24,Change general economy.,Entertainment,231.73,Mobile Payment
2024-11-30,Image environment.,Groceries,482.19,Bank Transfer
,Memory care.,Transport,35.11,Bank Transfer
2024-05-09,Degree seem.,Dining,242.1,Mobile Payment
2024-10-03,Until arrive.,Healthcare,203.8,Credit Card
2024-08-19,Case of.,Healthcare,344.62,Bank Transfer
2025-03-22,Still daughter relate.,Dining,247.68,Mobile Payment
2025-02-20,Three after sit.,Transport,455.3,Mobile Payment
2024-11-21,Similar worker him.,Dining,41.38,Mobile Payment
2024-11-22,Commercial wait born.,Rent,44.99,Bank Transfer
2024-11-26,Hear.,Entertainment,306.11,Credit Card
2024-11-17,Upon friend degree.,Groceries,37.51,Credit Card
2024-09-19,Person one.,Dining,141.13,Mobile Payment
2024-04-24,A ten.,Groceries,318.37,Mobile Payment
2024-10-14,Language defense.,Rent,276.44,Credit Card
2024-10-29,Rule.,Healthcare,165.97,Mobile Payment
2024-09-09,Science both.,Dining,497.34,Mobile Payment
2024-07-25,Success agreement.,Transport,267.63,Credit Card
2024-08-24,Recognize eat drug according.,Healthcare,229.59,Bank Transfer
2024-05-21,Second manager.,Healthcare,304.69,Mobile Payment
2024-08-28,Generation.,Transport,54.09,Bank Transfer
2025-01-01,Summer development.,Entertainment,352.38,Mobile Payment
2025-04-09,Leave room.,Entertainment,427.13,Mobile Payment
2024-07-03,Full will throw the.,Dining,327.2,Mobile Payment
2025-03-09,Society thought.,Healthcare,385.64,Cash
2025-03-20,Lose wife participant.,Dining,361.82,Bank Transfer
2024-05-25,Guess produce line.,Entertainment,111.44,Bank Transfer
2025-03-23,Simply development attention.,Utilities,228.52,Mobile Payment
2024-12-09,Stay different.,Rent,118.1,Credit Card
2024-12-15,Report.,Dining,172.77,Mobile Payment
2024-12-07,Magazine important let.,Dining,229.48,Cash
2024-08-02,Natural fire entire.,Utilities,210.91,Mobile Payment
2024-11-16,Poor full such.,Entertainment,52.07,Cash
2024-06-23,Factor in recent.,Dining,216.25,Mobile Payment
2024-07-13,Least relationship future.,Groceries,334.23,Bank Transfer
2024-04-22,Enough board including mother.,Entertainment,190.28,Mobile Payment
2025-04-01,Current small.,Entertainment,80.56,Bank Transfer
2024-05-25,Rock low military.,Rent,461.88,Credit Card
2024-06-15,Military.,Dining,38.23,Credit Card
2024-08-05,Fall best community.,Healthcare,416.73,Mobile Payment
2024-07-15,Stock if list.,Education,51.15,Mobile Payment
2025-01-20,Security than I.,Education,52.8,Credit Card
,Add story field.,Education,370.7,Cash
2025-01-15,Market necessary discover.,Rent,406.83,Credit Card
2025-02-21,Imagine after.,Education,280.4,Credit Card
2025-01-28,Big defense any.,Utilities,295.3,
2024-07-24,Lot in.,Transport,282.99,Credit Card
2024-06-03,Experience because.,Entertainment,168.17,Credit Card
2024-07-08,Everything reason fight.,Healthcare,65.5,Cash
2024-08-23,Budget skill participant.,Transport,180.03,Cash
2024-11-25,System box area before.,Rent,334.34,Bank Transfer
2025-02-28,Performance near control.,Entertainment,376.39,Mobile Payment
2024-08-14,Less.,Rent,434.71,Bank Transfer
2024-09-27,See door single.,Rent,361.93,Cash
2024-06-16,Cold lawyer.,Utilities,484.36,Credit Card
2025-01-07,Third.,Groceries,302.2,Cash
2024-12-04,Sure so down.,Groceries,179.06,Credit Card
2024-08-16,Agent able window.,Rent,291.07,
2024-12-20,Rich themselves court.,Education,110.31,Bank Transfer
2024-08-23,Consumer simply on.,Transport,330.08,Bank Transfer
2025-03-25,,Education,116.0,Credit Card
2024-12-29,Glass news.,Dining,58.57,Mobile Payment
2025-03-23,Area piece.,,423.46,Mobile Payment
2024-06-23,Actually loss.,Dining,186.94,Mobile Payment
2025-02-25,Director board.,Education,382.49,Cash
2024-04-30,Morning realize.,,289.18,Cash
2024-06-21,Mother structure even.,,404.57,Credit Card
2024-10-05,Make up.,Utilities,423.35,Cash
2024-10-15,People science word.,Groceries,487.4,Credit Card
2024-09-27,Player structure girl.,Transport,410.12,Bank Transfer
2024-07-24,Site performance.,Dining,308.72,Credit Card
2024-12-11,May yeah.,Rent,323.14,Cash
2024-10-01,Dinner often.,Utilities,18.0,Bank Transfer
2024-05-09,Ok enjoy under.,Education,464.9,Bank Transfer
2024-07-09,Citizen full edge.,Groceries,415.58,Credit Card
2025-02-14,Detail those teach.,Rent,137.39,Mobile Payment
2024-12-01,Executive should week term.,Transport,94.31,Cash
2024-12-04,Clear sing.,Education,352.84,Cash
2024-04-20,Live increase.,Utilities,157.95,Mobile Payment
2025-01-28,Check understand.,Education,173.21,Cash
2024-06-07,Realize wish.,Healthcare,8.02,Mobile Payment
2024-11-16,Seek truth skin.,Education,435.58,Mobile Payment
2024-08-30,Sister trial.,Dining,285.33,Bank Transfer
2025-01-06,Figure relate threat.,Education,203.39,Bank Transfer
2024-08-16,Establish out necessary.,Utilities,75.23,Credit Card
2024-06-10,Near country.,Education,318.42,Bank Transfer
2024-09-07,Natural enter reality.,Education,20.18,Mobile Payment
2025-01-19,Travel tell.,Entertainment,374.33,Credit Card
2024-06-07,Well respond investment ground.,Rent,111.49,Cash
2025-01-26,Management between feeling.,Entertainment,212.82,Mobile Payment
2024-05-04,History together.,Education,173.74,Credit Card
2024-06-28,Foot me serious resource.,Rent,188.18,Bank Transfer
2024-09-06,Fear.,Entertainment,362.19,Mobile Payment
2025-03-08,,Education,389.53,Credit Card
2024-07-25,I ever.,Transport,285.96,Cash
2024-05-28,Police dark.,Entertainment,47.05,Mobile Payment
2024-11-19,Cut wind.,Rent,31.04,Mobile Payment
2024-09-17,Remember mission watch.,Entertainment,82.92,Credit Card
2025-03-29,Month where point.,Healthcare,310.83,Credit Card
2024-07-31,Will pay kid.,Healthcare,,Bank Transfer
2024-11-03,,Transport,139.69,Bank Transfer
2024-11-04,Big before national.,Utilities,332.66,Mobile Payment
2025-01-09,Nation guess.,Utilities,245.4,Cash
2024-09-12,News billion per represent.,Rent,223.81,Bank Transfer
2025-01-27,Need available here.,Dining,140.22,Cash
2025-02-26,Election forget morning.,Utilities,378.7,Credit Card
2024-06-13,Would picture body.,Rent,61.34,Credit Card
2024-07-15,New better author.,Transport,217.81,Bank Transfer
2024-09-27,Policy better.,Dining,145.21,Mobile Payment
2024-11-22,Meet leg full.,Dining,340.85,Credit Card
2024-05-12,Image serve big husband.,Healthcare,245.88,Cash
2024-09-30,Sell factor.,Education,335.23,Mobile Payment
2024-09-29,Letter although approach.,Dining,27.48,Bank Transfer
2025-01-06,Senior pressure clearly.,Groceries,200.66,Credit Card
2025-02-02,Tend war those.,Rent,301.67,Bank Transfer
2024-12-22,Name defense successful.,Dining,8.81,Mobile Payment
2024-05-11,Today eat whole.,Dining,154.2,Mobile Payment
2025-03-27,Role.,Groceries,109.56,Mobile Payment
2024-09-16,Family open street pull.,Dining,72.93,Cash
2024-09-13,South along.,Education,,Mobile Payment
2024-06-05,Main current food.,Groceries,167.42,Mobile Payment
2024-10-02,Buy standard.,Healthcare,8.83,Credit Card
2024-05-17,Certainly.,Entertainment,374.77,Cash
2024-08-23,Require identify Mrs.,Dining,91.97,Cash
2024-05-31,Help owner.,Dining,193.2,Bank Transfer
2024-07-07,High spend by.,Rent,353.32,Mobile Payment
2024-12-11,Spring stand sort.,Education,252.63,Credit Card
2025-02-26,Drug ability above.,Rent,417.51,Bank Transfer
2025-02-05,Officer.,Entertainment,404.07,Mobile Payment
2024-08-23,Land his.,Dining,40.68,Cash
2025-01-01,Management late entire first.,Education,431.57,Mobile Payment
